brand,price,model,model_year,milage,fuel_type,transmission,engine,accident
Porsche,"$50,999",Cayman Base,2016,"10,431 mi.",Gasoline,7-Speed A/T,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,None reported
INFINITI,"$12,500",FX50 Base,2009,"190,120 mi.",Gasoline,7-Speed A/T,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$29,999",F-150 XLT,2020,"92,000 mi.",Gasoline,10-Speed A/T,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$32,000",Camaro 2LT,2017,"24,000 mi.",Gasoline,6-Speed M/T,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
RAM,"$43,250",1500 Big Horn,2020,"25,396 mi.",Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,None reported
Chevrolet,"$6,500",Silverado 2500 H/D,2001,"167,000 mi.",Gasoline,4-Speed A/T,300.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
RAM,"$49,700",1500 Laramie,2022,"18,645 mi.",Gasoline,Automatic,5.7L V8 16V MPFI OHV,None reported
Porsche,"$147,500",911 Turbo,2018,"28,470 mi.",Gasoline,Transmission w/Dual Shift Mode,540.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$23,999",Mustang V6,2016,"54,000 mi.",Gasoline,6-Speed A/T,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$2,900",Accent GL,2003,"83,000 mi.",Gasoline,M/T,104.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,None reported
Audi,"$40,598",Q5 S line Premium Plus,2022,"10,071 mi.",Hybrid,Automatic,2.0 Liter TFSI,None reported
Ford,"$43,642",F-150 XLT,2021,"43,329 mi.",Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,None reported
Lexus,"$43,000",RC F Base,2015,"51,400 mi.",Gasoline,8-Speed A/T,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$23,000",Suburban 1500 LT,2015,"153,800 mi.",E85 Flex Fuel,6-Speed A/T,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,At least 1 accident or damage reported
Land,"$115,000",Rover Range Rover Sport SVR Carbon Edition,2022,"9,000 mi.",Gasoline,A/T,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$65,499",Viper SRT-10,2003,"10,800 mi.",Gasoline,6-Speed M/T,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,None reported
RAM,"$48,815",1500 Laramie,2020,"10,458 mi.",Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,None reported
BMW,"$13,800",328 i,2014,"84,709 mi.",Gasoline,8-Speed A/T,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$45,770",AMG C 43 AMG C 43 4MATIC,2019,"33,500 mi.",Gasoline,9-Speed A/T,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$32,999",M4 Base,2015,"98,000 mi.",Gasoline,Transmission w/Dual Shift Mode,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$7,300",750 i,2008,"94,653 mi.",Gasoline,A/T,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$85,000",Expedition Limited,2023,"9,281 mi.",Gasoline,A/T,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$47,000",Traverse Premier,2023,"11,806 mi.",Gasoline,9-Speed A/T,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$22,500",E-Class D 2.5 Turbo,1993,"70,015 mi.",–,4-Speed A/T,–,None reported
Cadillac,"$61,500",Escalade Platinum,2020,"48,613 mi.",Gasoline,A/T,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
RAM,"$69,900",3500 Tradesman,2023,"2,990 mi.",Diesel,A/T,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,At least 1 accident or damage reported
Audi,"$6,900",TT 1.8L,2005,"124,747 mi.",Gasoline,Transmission w/Dual Shift Mode,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,None reported
RAM,"$42,000",1500 Big Horn,2021,"24,000 mi.",Hybrid,A/T,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,None reported
Mazda,"$5,499",CX-7 Sport,2009,"113,000 mi.",Gasoline,6-Speed A/T,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,None reported
INFINITI,"$18,000",QX60 Base,2017,"89,106 mi.",Gasoline,Transmission w/Dual Shift Mode,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Ford,"$53,000",F-250 Platinum,2017,"22,000 mi.",E85 Flex Fuel,6-Speed A/T,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,At least 1 accident or damage reported
Jeep,"$28,298",Compass Limited,2022,"20,472 mi.",Gasoline,9-Speed Automatic,2.4L I4 16V MPFI SOHC,None reported
INFINITI,"$78,990",QX80 SENSORY,2023,"8,600 mi.",Gasoline,7-Speed A/T,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,
Chevrolet,"$57,000",Silverado 1500 Limited LT Trail Boss,2022,"4,753 mi.",Gasoline,10-Speed A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$8,900",Genesis Coupe 2.0T,2010,"65,000 mi.",Gasoline,A/T,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,
Chevrolet,"$43,500",Camaro 1SS,2021,"15,000 mi.",Gasoline,6-Speed M/T,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$19,500",Tahoe Base,1997,"229,000 mi.",Diesel,A/T,180.0HP 6.5L 8 Cylinder Engine Diesel Fuel,At least 1 accident or damage reported
Audi,"$26,500",A6 3.0 TDI Premium Plus,2014,"42,400 mi.",Diesel,8-Speed A/T,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,None reported
Land,"$69,900",Rover Defender S,2023,"15,840 mi.",Gasoline,8-Speed A/T,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$42,000",Cayenne S,2016,"76,200 mi.",Gasoline,Transmission w/Dual Shift Mode,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$39,000",Suburban Premier,2019,"105,667 mi.",Gasoline,6-Speed A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$49,900",Suburban Premier,2019,"51,338 mi.",Gasoline,6-Speed A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$8,100",Dart SE,2016,"76,857 mi.",Gasoline,M/T,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$42,500",F-250 Lariat,2019,"80,200 mi.",E85 Flex Fuel,A/T,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,None reported
Toyota,"$3,950",Sequoia SR5,2002,"244,200 mi.",Gasoline,A/T,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$28,500",Mustang GT,2014,"38,560 mi.",Gasoline,6-Speed M/T,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$84,999",Corvette Stingray w/2LT,2020,"12,500 mi.",Gasoline,Transmission w/Dual Shift Mode,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$20,999",Genesis Coupe 3.8 Base,2016,"45,303 mi.",Gasoline,8-Speed A/T,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
Ford,"$9,495",Focus ST Base,2014,"110,000 mi.",Gasoline,6-Speed M/T,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Cadillac,"$16,499",CTS Luxury,2011,"66,200 mi.",Gasoline,6-Speed A/T,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$14,900",Baja Base,2003,"71,000 mi.",Gasoline,5-Speed M/T,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$30,275",Highlander XLE,2019,"81,301 mi.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,None reported
Chevrolet,"$63,900",Corvette Stingray Z51,2019,"7,033 mi.",Gasoline,8-Speed A/T,460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$62,000",Durango SRT,2020,"36,000 mi.",Gasoline,8-Speed A/T,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,None reported
Acura,"$9,000",TSX 2.4,2010,"116,000 mi.",Gasoline,6-Speed M/T,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$41,100",Camaro 2SS,2018,"42,780 mi.",Gasoline,Transmission w/Dual Shift Mode,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$26,000",640 Gran Coupe i,2014,"39,886 mi.",Gasoline,Transmission w/Dual Shift Mode,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Audi,"$15,400",S5 3.0T Premium Plus,2014,"151,400 mi.",Gasoline,Transmission w/Dual Shift Mode,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Alfa,"$20,500",Romeo Giulia Base,2017,"48,000 mi.",Gasoline,A/T,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$44,596",Highlander XLE,2023,"8,727 mi.",Gasoline,8-Speed Automatic,2.4L I4 16V PDI DOHC Turbo,None reported
Rolls-Royce,"$80,300",Ghost Base,2011,"79,000 mi.",Gasoline,8-Speed A/T,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Dodge,"$34,000",Challenger R/T,2020,"54,000 mi.",Gasoline,8-Speed A/T,372.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$25,900",Cayenne Base,2016,"110,000 mi.",Gasoline,A/T,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$24,900",Bolt EV LT,2020,"49,688 mi.",,A/T,200.0HP Electric Motor Electric Fuel System,None reported
Mercedes-Benz,"$48,000",Metris Base,2020,"14,000 mi.",Gasoline,7-Speed A/T,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$110,000",Charger SRT Hellcat Widebody,2023,"5,000 mi.",Gasoline,Transmission w/Dual Shift Mode,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$68,590",Silverado 1500 ZR2,2022,"11,597 mi.",Gasoline,Automatic,6.2L V8 16V GDI OHV,None reported
Mercedes-Benz,"$72,777",AMG S 63 Base 4MATIC,2017,"86,101 mi.",Gasoline,A/T,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$36,590",Silverado 1500 LT,2017,"58,816 mi.",Gasoline,6-Speed Electronically Controlled Automatic with O,5.3L V8 16V GDI OHV,None reported
Lexus,"$30,919",RC 350 Base,2016,"77,856 mi.",Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,None reported
Lamborghini,"$229,900",Urus Base,2021,"20,069 mi.",Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,None reported
GMC,"$12,433",Acadia SLE-1,2015,"115,282 mi.",Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,At least 1 accident or damage reported
Porsche,"$138,999",911 GT3,2016,"30,700 mi.",Gasoline,7-Speed A/T,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,None reported
MINI,"$5,995",Cooper Base,2003,"103,726 mi.",Gasoline,5-Speed M/T,115.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mazda,"$13,250",MX-5 Miata Sport,2008,"39,800 mi.",Gasoline,Transmission w/Dual Shift Mode,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$33,333",4Runner TRD Off Road,2019,"79,500 mi.",Gasoline,A/T,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$9,000",Highlander Limited,2008,"165,520 mi.",Gasoline,A/T,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$24,000",650 Gran Coupe i,2014,"92,000 mi.",Gasoline,Transmission w/Dual Shift Mode,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Hyundai,"$55,000",Palisade Calligraphy,2023,"1,500 mi.",Gasoline,Transmission w/Dual Shift Mode,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
Pontiac,"$19,950",Solstice GXP,2008,"38,100 mi.",Gasoline,5-Speed M/T,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Land,"$38,999",Rover Range Rover Evoque SE Premium,2018,"42,125 mi.",Gasoline,Transmission w/Dual Shift Mode,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$33,500",Cayenne Diesel,2014,"86,818 mi.",Diesel,Transmission w/Dual Shift Mode,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,None reported
BMW,"$95,580",M3 Competition xDrive,2023,"3,490 mi.",Gasoline,8-Speed A/T,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$7,900",Avalon Limited,2008,"111,300 mi.",Gasoline,Transmission w/Dual Shift Mode,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$27,000",M3 Base,2011,"98,200 mi.",Gasoline,7-Speed A/T,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$53,999",Panamera Base,2018,"42,500 mi.",Gasoline,8-Speed A/T,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Jeep,"$15,000",Wrangler Sport,2001,"171,000 mi.",Gasoline,5-Speed M/T,181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Honda,"$39,999",Passport TrailSport,2023,"11,649 mi.",Gasoline,9-Speed A/T,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,
Mercedes-Benz,"$40,250",SL-Class SL 550,2013,"24,933 mi.",Gasoline,Transmission w/Dual Shift Mode,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Audi,"$29,995",RS 4 Base,2007,"99,769 mi.",Gasoline,6-Speed M/T,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$39,390",Avalon Limited,2022,"16,156 mi.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,None reported
Mercedes-Benz,"$11,900",E-Class E 350 4MATIC,2008,"67,250 mi.",Gasoline,A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
GMC,"$74,500",Yukon Denali,2021,"30,022 mi.",Gasoline,A/T,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Porsche,"$78,000",Panamera 4S,2017,"42,596 mi.",Gasoline,Transmission w/Dual Shift Mode,440.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,None reported
Ford,"$36,995",Explorer XLT,2021,"33,705 mi.",Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported
Land,"$31,000",Rover LR4 HSE LUX Landmark Edition,2016,"63,300 mi.",Gasoline,8-Speed A/T,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Acura,"$52,000",TLX Type S w/Performance Tire,2023,"4,700 mi.",Gasoline,10-Speed A/T,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$42,998",Tacoma Base,2020,"27,256 mi.",Gasoline,6 Speed At/Mt,3.5 Liter,None reported
Hummer,"$13,500",H3 Base,2010,"107,481 mi.",Gasoline,A/T,239.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,None reported
Tesla,"$25,900",Model 3 Long Range,2018,"61,700 mi.",,A/T,271.0HP Electric Motor Electric Fuel System,None reported
Volvo,"$4,500",850 Turbo,1995,"94,000 mi.",–,A/T,–,None reported
Jeep,"$26,800",Wrangler Unlimited Sahara,2017,"128,000 mi.",Gasoline,5-Speed A/T,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$39,000",Camaro 2SS,2018,"26,000 mi.",Gasoline,8-Speed A/T,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Audi,"$29,950",S6 4.0T,2015,"74,000 mi.",Gasoline,7-Speed A/T,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
Audi,"$28,900",TT RS Base,2012,"54,900 mi.",Gasoline,6-Speed M/T,360.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,
INFINITI,"$11,500",QX56 Base,2012,"141,775 mi.",Gasoline,Transmission w/Dual Shift Mode,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,None reported
Volkswagen,"$12,000",New Beetle GLS,2001,"63,250 mi.",Gasoline,4-Speed A/T,115.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Audi,"$44,998",Q5 S line Premium Plus,2022,"13,895 mi.",Hybrid,Automatic,2.0 Liter TFSI,None reported
Lamborghini,"$449,991",Aventador LP750-4 Superveloce,2017,"10,654 mi.",Gasoline,Automatic,"6.5L V-12 DOHC, variable valve control, premium unleaded, engine",None reported
Ford,"$27,900",F-250 XL,2014,"35,900 mi.",E85 Flex Fuel,Transmission w/Dual Shift Mode,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,At least 1 accident or damage reported
GMC,"$71,999",Yukon XL Denali,2022,"48,306 mi.",Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,At least 1 accident or damage reported
Audi,"$10,500",A4 2.0T Premium,2012,"125,000 mi.",Gasoline,8-Speed A/T,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$38,000",Challenger SRT 392,2016,"37,700 mi.",–,8-Speed A/T,–,At least 1 accident or damage reported
Tesla,"$36,000",Model S P100D,2017,"103,000 mi.",,1-Speed A/T,Electric Motor Electric Fuel System,None reported
Mazda,"$25,382",CX-30 Premium Package,2021,"45,303 mi.",Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,None reported
Lexus,"$27,500",ES 350 Base,2016,"53,900 mi.",Gasoline,A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$20,000",Wrangler Sahara,2008,"54,000 mi.",Gasoline,A/T,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$17,950",Avalanche 1500 LTZ,2007,"129,000 mi.",Gasoline,A/T,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$44,646",Grand Cherokee L Laredo,2022,"10,232 mi.",Gasoline,Automatic,3.6L V6 24V MPFI DOHC,None reported
Acura,"$58,998",MDX w/Advance Package,2023,"3,708 mi.",Gasoline,Automatic,3.5 Liter SOHC,None reported
Nissan,"$14,500",Pathfinder SL,2018,"167,000 mi.",Gasoline,A/T,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,
Tesla,"$58,000",Model X Long Range,2019,"37,000 mi.",,1-Speed A/T,518.0HP Electric Motor Electric Fuel System,None reported
Subaru,"$24,998",Impreza Premium,2022,"10,419 mi.",Gasoline,Variable,"2L H-4 gasoline direct injection, DOHC, variable valve control,",At least 1 accident or damage reported
Audi,"$22,500",A8 4.0T,2014,"96,238 mi.",Gasoline,Transmission w/Dual Shift Mode,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Subaru,"$38,500",Ascent Limited 7-Passenger,2022,"12,700 mi.",Gasoline,CVT Transmission,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$16,900",Avalanche 1500 LT,2007,"244,000 mi.",E85 Flex Fuel,A/T,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,None reported
Porsche,"$25,000",Cayenne S,2015,"124,000 mi.",Gasoline,8-Speed A/T,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$15,000",335 i,2009,"123,000 mi.",Gasoline,A/T,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
GMC,"$49,900",Sierra 1500 Limited Elevation,2022,"24,900 mi.",Gasoline,8-Speed A/T,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,None reported
Ford,"$20,000",Explorer Sport,2016,"95,500 mi.",Gasoline,Transmission w/Dual Shift Mode,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Cadillac,"$479,995",Escalade ESV Sport,2021,"4,283 mi.",Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,None reported
Lexus,"$82,000",LX 570 Three-Row,2021,"48,300 mi.",Gasoline,A/T,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,None reported
BMW,"$25,999",M3 Base,2008,"94,000 mi.",Gasoline,6-Speed M/T,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
Nissan,"$12,000",Xterra Pro-4X,2011,"183,000 mi.",Gasoline,A/T,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$11,500",Fusion Hybrid SE Hybrid,2013,"126,225 mi.",Hybrid,CVT Transmission,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,At least 1 accident or damage reported
Volkswagen,"$16,000",Golf GTI 2.0T SE 4-Door,2016,"87,892 mi.",Gasoline,6-Speed M/T,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Cadillac,"$41,500",CTS-V Base,2012,"45,000 mi.",Gasoline,6-Speed A/T,556.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Aston,"$156,900",Martin Vantage Base,2022,"1,023 mi.",Gasoline,8-Speed A/T,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$37,500",GX 460 Base,2015,"106,000 mi.",Gasoline,A/T,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,None reported
GMC,"$25,500",Acadia SLT-1,2019,"51,300 mi.",Gasoline,6-Speed A/T,193.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$28,979",Bronco Sport Big Bend,2021,"30,176 mi.",Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,None reported
Nissan,"$39,884",Titan SV,2021,"27,598 mi.",Gasoline,9-Speed Automatic,5.6L V8 32V GDI DOHC,None reported
Volkswagen,"$9,499",Jetta SportWagen SE,2012,"107,000 mi.",Gasoline,A/T,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,None reported
Land,"$65,000",Rover Range Rover 5.0L V8 Supercharged,2019,"17,500 mi.",Gasoline,8-Speed A/T,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
RAM,"$42,000",2500 Laramie,2017,"117,878 mi.",Diesel,Transmission w/Dual Shift Mode,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,None reported
Nissan,"$7,000",Murano SL,2010,"138,700 mi.",Gasoline,CVT Transmission,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Cadillac,"$12,350",Escalade ESV Base,2009,"152,068 mi.",E85 Flex Fuel,6-Speed A/T,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,At least 1 accident or damage reported
BMW,"$26,999",428 i xDrive SULEV,2016,"77,000 mi.",Gasoline,Transmission w/Dual Shift Mode,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$37,000",Focus RS Base,2017,"26,000 mi.",Gasoline,6-Speed M/T,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$14,000",CT 200h Premium,2014,"131,200 mi.",Hybrid,A/T,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,None reported
Buick,"$20,599",Enclave Leather,2017,"83,280 mi.",Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,None reported
BMW,"$53,500",M3 Base,2015,"59,000 mi.",Gasoline,6-Speed M/T,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Volkswagen,"$30,000",Arteon 2.0T SEL R-Line,2020,"15,500 mi.",Gasoline,8-Speed A/T,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
BMW,"$19,950",X6 xDrive35i,2013,"90,000 mi.",Gasoline,8-Speed A/T,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
INFINITI,"$10,995",G35 Base,2006,"94,000 mi.",Gasoline,Transmission w/Dual Shift Mode,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Hummer,"$55,000",H2 Base,2008,"63,750 mi.",Gasoline,6-Speed A/T,393.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$15,990",C-Class C 300 4MATIC Luxury,2011,"95,500 mi.",Gasoline,A/T,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Acura,"$26,000",ILX Premium Package,2019,"37,900 mi.",Gasoline,A/T,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$154,900",911 GT3,2015,"13,250 mi.",Gasoline,7-Speed A/T,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,None reported
RAM,"$40,995",1500 Longhorn,2019,"76,249 mi.",Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,At least 1 accident or damage reported
BMW,"$39,000",M3 Base,2001,"81,000 mi.",Gasoline,6-Speed M/T,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$60,894",Suburban LT,2022,"37,806 mi.",Gasoline,10-Speed A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$17,700",Ram 2500 ST,2010,"151,544 mi.",Gasoline,5-Speed A/T,355.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$26,950",Camaro 2SS,2012,"60,345 mi.",Gasoline,6-Speed A/T,400.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$12,000",Challenger SE,2010,"90,305 mi.",Gasoline,A/T,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$42,599",Grand Cherokee L Limited,2022,"13,275 mi.",Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,None reported
Chevrolet,"$45,000",Camaro 2SS,2018,"8,660 mi.",Gasoline,8-Speed A/T,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Ford,"$73,600",F-350 Lariat,2021,"28,220 mi.",Diesel,10-Speed A/T,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,None reported
Ford,"$39,950",F-250 King Ranch,2015,"97,700 mi.",Diesel,6-Speed A/T,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,None reported
